Probennummer;Analyt;Erfassung der Anforderung;Probenverteilung;Proben auf Strasse;Zentrifugation;Analyten werden gemessen;Resultate werden übermittelt;Technische Validation;Medizinische Validation;Erstellen & Versenden Bericht
2211334401;Troponin;2024-10-01 10:09;2024-10-01 10:30;2024-10-01 11:05;2024-10-01 14:18;2024-10-01 14:27;2024-10-01 15:10;2024-10-01 15:28;2024-10-01 15:49;2024-10-01 16:20
2211334401;CRP;2024-10-01 08:45;2024-10-01 09:30;2024-10-01 10:00;2024-10-01 10:15;2024-10-01 10:45;2024-10-01 11:00;2024-10-01 11:20;2024-10-01 11:35;2024-10-01 12:00
2211334402;D-Dimer;2024-10-01 09:10;2024-10-01 10:00;2024-10-01 10:35;2024-10-01 10:50;2024-10-01 11:15;2024-10-01 11:35;2024-10-01 11:50;2024-10-01 12:10;2024-10-01 12:40
2211334403;Troponin;2024-10-01 10:00;2024-10-01 10:45;2024-10-01 11:20;2024-10-01 11:30;2024-10-01 11:55;2024-10-01 12:15;2024-10-01 12:30;2024-10-01 12:50;2024-10-01 13:15
2211334404;CRP;2024-10-01 11:20;2024-10-01 12:05;2024-10-01 12:35;2024-10-01 12:50;2024-10-01 13:10;2024-10-01 13:30;2024-10-01 13:50;2024-10-01 14:05;2024-10-01 14:30
2211334405;D-Dimer;2024-10-01 08:55;2024-10-01 09:30;2024-10-01 09:50;2024-10-01 10:15;2024-10-01 10:35;2024-10-01 10:50;2024-10-01 11:10;2024-10-01 11:25;2024-10-01 11:50
2211334406;Troponin;2024-10-01 10:20;2024-10-01 11:00;2024-10-01 11:30;2024-10-01 11:45;2024-10-01 12:05;2024-10-01 12:20;2024-10-01 12:40;2024-10-01 13:00;2024-10-01 13:25
2211334407;CRP;2024-10-01 09:30;2024-10-01 10:20;2024-10-01 10:50;2024-10-01 11:05;2024-10-01 11:25;2024-10-01 11:45;2024-10-01 12:05;2024-10-01 12:20;2024-10-01 12:45
2211334408;D-Dimer;2024-10-01 07:50;2024-10-01 08:35;2024-10-01 09:10;2024-10-01 09:30;2024-10-01 09:50;2024-10-01 10:05;2024-10-01 10:25;2024-10-01 10:45;2024-10-01 11:10
2211334409;Troponin;2024-10-01 11:55;2024-10-01 12:40;2024-10-01 13:10;2024-10-01 13:25;2024-10-01 13:45;2024-10-01 14:05;2024-10-01 14:20;2024-10-01 14:40;2024-10-01 15:05
2211334410;CRP;2024-10-01 10:10;2024-10-01 10:50;2024-10-01 11:15;2024-10-01 11:30;2024-10-01 11:50;2024-10-01 12:05;2024-10-01 12:25;2024-10-01 12:40;2024-10-01 13:05
2211334450;Troponin;2024-10-03 15:20;2024-10-03 16:05;2024-10-03 16:35;2024-10-03 16:50;2024-10-03 17:10;2024-10-03 17:25;2024-10-03 17:45;2024-10-03 18:00;2024-10-03 18:25
