Probennummer;Analyt;Erfassung der Anforderung;Probenverteilung;Proben auf Strasse;Zentrifugation;Analyten werden gemessen;Resultate werden übermittelt;Technische Validation;Medizinische Validation;Erstellen & Versenden Bericht
2211334401;Troponin;2024-10-01 08:40;2024-10-01 13:30;2024-10-01 14:05;2024-10-01 14:18;2024-10-01 14:27;2024-10-01 15:10;2024-10-01 15:28;2024-10-01 15:49;2024-10-01 16:20
2211334402;CRP;2024-10-02 09:20;2024-10-02 13:40;2024-10-02 14:15;2024-10-02 14:28;2024-10-02 14:37;2024-10-02 15:20;2024-10-02 15:38;2024-10-02 15:59;2024-10-02 16:30
2211334403;D-Dimer;2024-10-02 10:05;2024-10-02 13:55;2024-10-02 14:20;2024-10-02 14:33;2024-10-02 14:42;2024-10-02 15:25;2024-10-02 15:43;2024-10-02 16:04;2024-10-02 16:35
2211334404;Troponin;2024-10-02 10:50;2024-10-02 14:10;2024-10-02 14:25;2024-10-02 14:38;2024-10-02 14:47;2024-10-02 15:30;2024-10-02 15:48;2024-10-02 16:09;2024-10-02 16:40
2211334405;CRP;2024-10-02 11:35;2024-10-02 14:25;2024-10-02 14:35;2024-10-02 14:48;2024-10-02 14:57;2024-10-02 15:40;2024-10-02 15:58;2024-10-02 16:19;2024-10-02 16:50
2211334406;D-Dimer;2024-10-02 12:20;2024-10-02 14:40;2024-10-02 14:50;2024-10-02 15:03;2024-10-02 15:12;2024-10-02 15:55;2024-10-02 16:13;2024-10-02 16:34;2024-10-02 17:05
2211334407;Troponin;2024-10-02 13:05;2024-10-02 14:55;2024-10-02 15:05;2024-10-02 15:18;2024-10-02 15:27;2024-10-02 16:10;2024-10-02 16:28;2024-10-02 16:49;2024-10-02 17:20
2211334408;CRP;2024-10-02 13:50;2024-10-02 15:10;2024-10-02 15:20;2024-10-02 15:33;2024-10-02 15:42;2024-10-02 16:25;2024-10-02 16:43;2024-10-02 17:04;2024-10-02 17:35
2211334409;D-Dimer;2024-10-02 14:35;2024-10-02 15:25;2024-10-02 15:35;2024-10-02 15:48;2024-10-02 15:57;2024-10-02 16:40;2024-10-02 16:58;2024-10-02 17:19;2024-10-02 17:50
2211334410;Troponin;2024-10-02 15:20;2024-10-02 15:40;2024-10-02 15:50;2024-10-02 16:03;2024-10-02 16:12;2024-10-02 16:55;2024-10-02 17:13;2024-10-02 17:34;2024-10-02 18:05
2211334411;CRP;2024-10-02 16:05;2024-10-02 15:55;2024-10-02 16:05;2024-10-02 16:18;2024-10-02 16:27;2024-10-02 17:10;2024-10-02 17:28;2024-10-02 17:49;2024-10-02 18:20
2211334450;D-Dimer;2024-10-03 16:05;2024-10-03 20:55;2024-10-03 21:05;2024-10-03 21:18;2024-10-03 21:27;2024-10-03 22:10;2024-10-03 22:28;2024-10-03 22:49;2024-10-03 23:20
